תאריך,יום,בעלים,ערוץ,טור,לקוח / משימה,דלי,מהלך,מוטיבים,ארכיטיפ,אזור,יום מסלול,מוצר מוביל,SKU,חומר שיווקי,פוטנציאל/שנה,קצב צפוי,מחזור 12ח׳,תה 12ח׳,מאצ'ה 12ח׳,חור מוזה,וואטסאפ,פתיחה,הסגירה,אם מסרבים,למה היום,תוצאה (זכה / לא עכשיו / לא ענה / סירב),תאריך תוצאה
2026-09-01,שלישי,תום,משימת מערכת,משימת מערכת,להזמין ייצור מאצ'ה — 74 חשבונות תלויים בה,—,—,,,,,,,,,,,,,,,,,,"מלאי GT-SHI-CER-500 = 80 יחידות. הפוטנציאל ₪351,270",,
2026-09-01,שלישי,תום,משימת מערכת,משימת מערכת,להזמין ייצור FRESH ו-DETOX — מלאי 0,—,—,,,,,,,,,,,,,,,,,,"תמציות תה הן 94% חדירה ו-₪103,744 מהיעד",,
2026-09-02,רביעי,תום,משימת מערכת,משימת מערכת,"לאשר את מיקוד התוכנית: הרחבת קטלוג, לא החלפת מוזה",—,—,,,,,,,,,,,,,,,,,,"₪262,088 מול ₪147,644",,
2026-09-02,רביעי,תום,משימת מערכת,משימת מערכת,לאשר את דף המקרה העסקי למאצ'ה,—,—,,,,,,,,,,,,,,,,,,הקולטרל המרכזי של התוכנית,,
2026-09-03,חמישי,אלכס,משימת מערכת,משימת מערכת,לקרוא את 15 החשבונות לפגישות — 6 מהם קונים תה ואפס מאצ'ה,—,—,,,,,,,,,,,,,,,,,,"₪202,860 בשש שיחות",,
2026-09-03,חמישי,תום,משימת מערכת,משימת מערכת,לשלוח לאלכס ואבי את הדשבורד,—,—,,,,,,,,,,,,,,,,,,,,
2026-09-06,ראשון,אבי,משימת מערכת,משימת מערכת,לעבור על 5 חשבונות ההחזרה לפני שהם נעלמים,—,—,,,,,,,,,,,,,,,,,,הפסיקו גם מוזה וגם תה,,
2026-09-06,ראשון,תום,משימת מערכת,משימת מערכת,לוח התוצאות השבועי,—,—,,,,,,,,,,,,,,,,,,q4_scoreboard.py,,
2026-09-07,שני,אבי,שיחה — אבי,שיחה 1,גוטה,T2,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,21210,4576,20592,20592,0,,"היי גוטה, אתם קונים אצלנו תמציות ב-₪20,592 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪20,592 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה — קו חדש,,
2026-09-07,שני,אבי,שיחה — אבי,שיחה 1,זוזוברה,T2,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,18420,3879,17168,17168,0,,"היי זוזוברה, אתם קונים אצלנו תמציות ב-₪17,168 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪17,168 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה — קו חדש,,
